Feature,Importance
ClickThroughRate,0.030774406223801024
AdSpend,0.027979430256156693
EmailOpens,0.02505973718653452
EmailClicks,0.024013751063743916
ConversionRate,0.02301335839616322
TimeOnSite,0.021895136710084223
WebsiteVisits,0.019258021818359422
CustomerValue,0.019158999038377488
PagesPerVisit,0.01848910510531511
LoyaltyPoints,0.017664616549545157
DeepEngagement,0.01727229456996795
PreviousPurchases,0.014902239207142048
x2_Conversion,0.014632366649102842
CustomerMaturity,0.009206005967703552
Clicks_per_Visit,0.005324543173426717
Spend_per_Click,0.004859441549464532
ValuePerVisit,0.0030662426135884407
SocialShares,0.00298607614812635
EngagementScore,0.0028890466444874796
Income,0.0025485169684633384
Age,0.00254705485830996
EmailEngagementRate,0.002452664222851411
x2_Retention,0.00132141980445222
x1_Email,0.00121624501411924
x2_Consideration,0.0012146867620874227
x1_Social Media,0.0010272220893386894
x2_Awareness,0.0009857078394814461
x0_Female,0.0009467741823022411
x1_SEO,0.0008795480546871539
x1_PPC,0.0006389755303754484
x1_Referral,0.0005189632742354206
x0_Male,0.0002235052839278701
x3_IsConfid,0.0
x4_ToolConfid,0.0
